repository_path,class,live_candidates
supabase/migrations/20260618000100_nina_community_events_tables.sql,BC,20260618174049:nina_community_events_tables
supabase/migrations/20260618000200_admin_review_fixes_summary.sql,AN,20260619004758:nina_admin_dashboard_review_fixes
supabase/migrations/20260626120000_harden_approve_partner_admin_only.sql,BS,20260626022424:restrict_approve_partner_revoke_anon_public;20260626164858:revoke_anon_public_execute_approve_partner;20260626185513:harden_approve_partner_admin_only
supabase/migrations/20260626120000_harden_approve_partner_admin_only.rollback.sql,AR,
supabase/migrations/20260705000100_create_scout_leads.sql,BC,20260705211410:scout_partner_pipeline_schema;20260705211427:scout_touch_function;20260705211435:scout_touch_triggers;20260705215112:scout_add_neighborhood;20260705215134:scout_add_tagline;20260705215144:scout_add_bio;20260705215211:scout_add_hours;20260705215231:scout_add_offerings_notes;20260705215240:scout_add_featured_items_notes;20260705215248:scout_add_card_emoji;20260705215256:scout_add_card_color;20260705221812:scout_touch_search_path
supabase/migrations/20260705000200_create_scout_contacts.sql,BC,20260705211410:scout_partner_pipeline_schema;20260705211427:scout_touch_function;20260705211435:scout_touch_triggers;20260705221812:scout_touch_search_path
supabase/migrations/20260705000300_scout_lead_policies.sql,BC,20260705211811:scout_followup_task_role_policies
supabase/migrations/20260705000310_scout_contact_policies.sql,BC,20260705211811:scout_followup_task_role_policies
supabase/migrations/20260705000320_scout_task_permissions.sql,BC,20260705211811:scout_followup_task_role_policies;20260705213831:som_scout_partner_readiness_access
supabase/migrations/20260705000400_scout_event_artifacts.sql,BC,20260705211545:scout_event_sync_function;20260705211631:ensure_scout_event_artifact;20260705211756:route_scout_event_and_partner_artifacts;20260705221704:scout_function_cleanup_1;20260705221720:scout_function_cleanup_2;20260705221801:remove_unused_scout_event_function;20260705221833:restrict_scout_event_function;20260705222826:delete_event_application_by_id_fn
supabase/migrations/20260705000500_scout_partner_artifacts.sql,BC,20260705211513:scout_sync_partner_artifacts;20260705211756:route_scout_event_and_partner_artifacts;20260705213831:som_scout_partner_readiness_access;20260705221704:scout_function_cleanup_1;20260705221720:scout_function_cleanup_2;20260705221850:restrict_scout_partner_sync;20260705222850:delete_partner_by_id_fn
supabase/migrations/20260705000600_scout_pm_tasks.sql,BS,20260705215917:attach_scout_followup_task;20260705221255:scout_pm_task_wrapper;20260705221322:scout_pm_task_insert_trigger;20260705221632:scout_trigger_cleanup_1;20260705221642:scout_trigger_cleanup_2;20260705221704:scout_function_cleanup_1;20260705221720:scout_function_cleanup_2;20260705221916:scout_task_insert_test_fn;20260705221955:ensure_scout_pm_task_sql;20260705222029:create_scout_pm_task_wrapper_v2;20260705222036:cleanup_scout_test_function;20260705222046:drop_old_scout_pm_task_trigger;20260705222058:create_scout_pm_task_trigger;20260705222149:scout_pm_task_search_path;20260705222158:scout_pm_wrapper_search_path;20260705222456:cleanup_test_scout_rows_fn;20260705222523:cleanup_test_readiness_fn;20260705223057:drop_cleanup_test_scout_rows;20260705223127:revoke_temp_cleanup_helpers
supabase/migrations/20260705000600_scout_task_routing.sql,AS,20260705215917:attach_scout_followup_task;20260705221255:scout_pm_task_wrapper;20260705221322:scout_pm_task_insert_trigger;20260705221632:scout_trigger_cleanup_1;20260705221642:scout_trigger_cleanup_2;20260705221916:scout_task_insert_test_fn;20260705222036:cleanup_scout_test_function;20260705222046:drop_old_scout_pm_task_trigger
supabase/migrations/20260705000700_scout_swipe_card_sync.sql,BC,20260705215248:scout_add_card_emoji;20260705215256:scout_add_card_color;20260705215336:scout_card_sync_function;20260705215345:scout_card_sync_trigger;20260705221632:scout_trigger_cleanup_1;20260705221642:scout_trigger_cleanup_2;20260705221824:scout_card_sync_search_path
supabase/migrations/20260705000800_scout_indexes.sql,BC,
supabase/migrations/20260705000900_admin_hubspot_sync_queue_view.sql,BS,20260705231603:admin_hubspot_sync_queue_view;20260705232212:extend_hubspot_sync_queue_view_release_metadata_v2
supabase/migrations/20260705000900_hubspot_sync_queue_worker.sql,BS,20260705222541:cleanup_test_hubspot_fn;20260705223127:revoke_temp_cleanup_helpers;20260705225323:hubspot_sync_queue_worker
supabase/migrations/20260705001000_harden_hubspot_sync_release_gate.sql,BC,20260705222541:cleanup_test_hubspot_fn;20260705232130:harden_hubspot_sync_queue_release;20260705232212:extend_hubspot_sync_queue_view_release_metadata_v2
supabase/migrations/20260705001100_canonical_partner_routing.sql,BC,20260706002658:canonical_partner_routing
supabase/migrations/20260705001200_partner_routing_review_rpc.sql,BC,20260706002802:partner_routing_review_rpc
supabase/migrations/20260705001300_public_routing_views_select_only.sql,BC,20260706004220:public_partner_routing_views_select_only
supabase/migrations/20260705001400_platform_visibility_actual_surface_state.sql,BS,20260706074234:make_platform_visibility_reflect_actual_surface_state
supabase/migrations/20260705001400_primary_ecosystem_cta_only.sql,BS,20260706062250:restrict_primary_ecosystem_cta_destinations
